연번,설치목적,설치대수,설치장소,촬영범위,기관명 및 관리부서,,,,,,,,,,,,
1,방범용,1,경상남도 거창군 거창읍 중앙리 100-13,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
2,방범용,1,경상남도 거창군 거창읍 상림리 155-203,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
3,방범용,1,경상남도 거창군 거창읍 상림리 155-203,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
4,방범용,1,경상남도 거창군 거창읍 상림리 155-203,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
5,방범용,1,경상남도 거창군 가북면 우혜리 1882,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
6,방범용,1,경상남도 거창군 가북면 우혜리 1882,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
7,방범용,1,경상남도 거창군 가조면 도리 산82-7,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
8,방범용,1,경상남도 거창군 가조면 마상리 336,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
9,방범용,1,경상남도 거창군 가조면 마상리 336,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
10,방범용,1,경상남도 거창군 거창읍 중앙리 173-4,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
11,방범용,1,경상남도 거창군 거창읍 중앙리 352-14,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
12,방범용,1,경상남도 거창군 거창읍 중앙리 352-14,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
13,방범용,1,경상남도 거창군 거창읍 중앙리 352-14,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
14,방범용,1,경상남도 거창군 거창읍 중앙리 352-14,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
15,방범용,1,경상남도 거창군 거창읍 대동리 679-19,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
16,방범용,1,경상남도 거창군 거창읍 대동리 679-19,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
17,방범용,1,경상남도 거창군 거창읍 대동리 237-3,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
18,방범용,1,경상남도 거창군 거창읍 대동리 237-3,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
19,방범용,1,경상남도 거창군 거창읍 대동리 237-3,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
20,방범용,1,경상남도 거창군 거창읍 대동리 237-3,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
21,방범용,1,경상남도 거창군 거창읍 상림리 670-6,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
22,방범용,1,경상남도 거창군 거창읍 상림리 670-6,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
23,방범용,1,경상남도 거창군 거창읍 상림리 670-6,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
24,방범용,1,경상남도 거창군 거창읍 중앙리 487-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
25,방범용,1,경상남도 거창군 거창읍 중앙리 487-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
26,방범용,1,경상남도 거창군 거창읍 중앙리 273-25,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
27,방범용,1,경상남도 거창군 거창읍 중앙리 436-8,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
28,방범용,1,경상남도 거창군 거창읍 중앙리 436-8,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
29,방범용,1,경상남도 거창군 거창읍 중앙리 420-5,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
30,방범용,1,경상남도 거창군 거창읍 상림리 778-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
31,방범용,1,경상남도 거창군 거창읍 중앙리 317-4,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
32,방범용,1,경상남도 거창군 거창읍 중앙리 317-4,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
33,방범용,1,경상남도 거창군 거창읍 중앙리 317-4,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
34,방범용,1,경상남도 거창군 거창읍 중앙리 317-4,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
35,방범용,1,경상남도 거창군 거창읍 상림리 산34-4,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
36,방범용,1,경상남도 거창군 거창읍 상림리 산34-4,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
37,방범용,1,경상남도 거창군 거창읍 상림리 808,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
38,방범용,1,경상남도 거창군 거창읍 김천리 264,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
39,방범용,1,경상남도 거창군 거창읍 중앙리 282-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
40,방범용,1,경상남도 거창군 고제면 궁항리 1147-6,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
41,방범용,1,경상남도 거창군 위천면 상천리 772-3,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
42,방범용,1,경상남도 거창군 위천면 상천리 772-3,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
43,방범용,1,경상남도 거창군 거창읍 김천리 348-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
44,방범용,1,경상남도 거창군 거창읍 김천리 348-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
45,방범용,1,경상남도 거창군 거창읍 김천리 348-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
46,방범용,1,경상남도 거창군 거창읍 김천리 348-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
47,방범용,1,경상남도 거창군 남하면 무릉리 1524,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
48,방범용,1,경상남도 거창군 남하면 무릉리 1524,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
49,방범용,1,경상남도 거창군 고제면 농산리 200-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
50,방범용,1,경상남도 거창군 고제면 농산리 200-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
51,방범용,1,경상남도 거창군 고제면 농산리 200-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
52,방범용,1,경상남도 거창군 거창읍 상림리 215-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
53,방범용,1,경상남도 거창군 거창읍 상림리 215-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
54,방범용,1,경상남도 거창군 거창읍 대동리 869-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
55,방범용,1,경상남도 거창군 거창읍 가지리 1719,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
56,방범용,1,경상남도 거창군 거창읍 상림리 12-3,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
57,방범용,1,경상남도 거창군 거창읍 상림리 12-3,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
58,방범용,1,경상남도 거창군 거창읍 중앙리 전473-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
59,방범용,1,경상남도 거창군 거창읍 중앙리 전473-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
60,방범용,1,경상남도 거창군 거창읍 김천리 2-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
61,방범용,1,경상남도 거창군 거창읍 김천리 2-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
62,방범용,1,경상남도 거창군 북상면 농산리 133,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
63,방범용,1,경상남도 거창군 거창읍 김천리 472-67,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
64,방범용,1,경상남도 거창군 거창읍 김천리 472-67,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
65,방범용,1,경상남도 거창군 거창읍 김천리 472-67,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
66,방범용,1,경상남도 거창군 북상면 농산리 산17-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
67,방범용,1,경상남도 거창군 거창읍 대동리 696-4,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
68,방범용,1,경상남도 거창군 거창읍 대동리 696-4,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
69,방범용,1,경상남도 거창군 거창읍 대동리 696-4,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
70,방범용,1,경상남도 거창군 거창읍 대동리 696-4,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
71,방범용,1,경상남도 거창군 북상면 갈계리 1391-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
72,방범용,1,경상남도 거창군 북상면 갈계리 1391-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
73,방범용,1,경상남도 거창군 거창읍 대동리 27-13,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
74,방범용,1,경상남도 거창군 북상면 산수리 산51,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
75,방범용,1,경상남도 거창군 가조면 동례리 1725-3,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
76,방범용,1,경상남도 거창군 거창읍 중앙리 482-8,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
77,방범용,1,경상남도 거창군 거창읍 중앙리 482-8,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
78,방범용,1,경상남도 거창군 거창읍 중앙리 482-8,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
79,방범용,1,경상남도 거창군 거창읍 대동리 862-6,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
80,방범용,1,경상남도 거창군 거창읍 대동리 829-3,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
81,방범용,1,경상남도 거창군 거창읍 송정리 485-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
82,방범용,1,경상남도 거창군 거창읍 송정리 485-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
83,방범용,1,경상남도 거창군 거창읍 송정리 211-3,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
84,방범용,1,경상남도 거창군 거창읍 송정리 211-3,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
85,방범용,1,경상남도 거창군 거창읍 송정리 211-3,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
86,방범용,1,경상남도 거창군 거창읍 대평리 1005,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
87,방범용,1,경상남도 거창군 거창읍 대평리 1005,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
88,방범용,1,경상남도 거창군 신원면 과정리 200,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
89,방범용,1,경상남도 거창군 신원면 과정리 200,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
90,방범용,1,경상남도 거창군 거창읍 대동리 686-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
91,방범용,1,경상남도 거창군 거창읍 대동리 686-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
92,방범용,1,경상남도 거창군 거창읍 상림리 852,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
93,방범용,1,경상남도 거창군 거창읍 중앙리 453-8,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
94,방범용,1,경상남도 거창군 거창읍 상림리 865-4,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
95,방범용,1,경상남도 거창군 거창읍 상림리 865-4,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
96,방범용,1,경상남도 거창군 거창읍 상림리 865-4,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
97,방범용,1,경상남도 거창군 가조면 동례리 1739-239,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
98,방범용,1,경상남도 거창군 거창읍 대동리 943-22,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
99,방범용,1,경상남도 거창군 거창읍 대동리 943-22,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
100,방범용,1,경상남도 거창군 거창읍 대동리 943-22,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
101,방범용,1,경상남도 거창군 거창읍 대동리 120-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
102,방범용,1,경상남도 거창군 거창읍 대동리 120-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
103,방범용,1,경상남도 거창군 거창읍 대동리 120-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
104,방범용,1,경상남도 거창군 거창읍 대동리 120-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
105,방범용,1,경상남도 거창군 거창읍 상림리 141-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
106,방범용,1,경상남도 거창군 거창읍 상림리 141-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
107,방범용,1,경상남도 거창군 거창읍 상림리 141-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
108,방범용,1,경상남도 거창군 가조면 수월리 1311-4,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
109,방범용,1,경상남도 거창군 북상면 월성리 산280-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
110,방범용,1,경상남도 거창군 웅양면 노현리 1408,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
111,방범용,1,경상남도 거창군 웅양면 노현리 1408,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
112,방범용,1,경상남도 거창군 거창읍 상림리 609-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
113,방범용,1,경상남도 거창군 위천면 장기리 487-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
114,방범용,1,경상남도 거창군 위천면 장기리 487-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
115,방범용,1,경상남도 거창군 거창읍 대동리 43-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
116,방범용,1,경상남도 거창군 거창읍 대동리 43-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
117,방범용,1,경상남도 거창군 거창읍 대동리 43-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
118,방범용,1,경상남도 거창군 거창읍 김천리 264,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
119,방범용,1,경상남도 거창군 거창읍 김천리 240-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
120,방범용,1,경상남도 거창군 거창읍 김천리 240-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
121,방범용,1,경상남도 거창군 주상면 거기리 산177-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
122,방범용,1,경상남도 거창군 주상면 도평리 580,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
123,방범용,1,경상남도 거창군 주상면 도평리 580,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
124,방범용,1,경상남도 거창군 주상면 도평리 580,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
125,방범용,1,경상남도 거창군 거창읍 상림리 382-3,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
126,방범용,1,경상남도 거창군 거창읍 가지리 261-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
127,방범용,1,경상남도 거창군 거창읍 가지리 261-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
128,방범용,1,경상남도 거창군 거창읍 가지리 341-5,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
129,방범용,1,경상남도 거창군 가조면 기리 1531-3,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
130,방범용,1,경상남도 거창군 마리면 말흘리 1379-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
131,방범용,1,경상남도 거창군 마리면 말흘리 1379-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
132,방범용,1,경상남도 거창군 마리면 말흘리 1379-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
133,방범용,1,경상남도 거창군 거창읍 대동리 104-9,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
134,방범용,1,경상남도 거창군 거창읍 대동리 104-9,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
135,방범용,1,경상남도 거창군 거창읍 가지리 255-5,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
136,방범용,1,경상남도 거창군 거창읍 가지리 255-5,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
137,방범용,1,경상남도 거창군 거창읍 상림리 773,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
138,방범용,1,경상남도 거창군 거창읍 상림리 773,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
139,방범용,1,경상남도 거창군 거창읍 상림리 378-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
140,방범용,1,경상남도 거창군 거창읍 상림리 378-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
141,방범용,1,경상남도 거창군 거창읍 상림리 378-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
142,방범용,1,경상남도 거창군 거창읍 상림리 867-8,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
143,방범용,1,경상남도 거창군 거창읍 상림리 867-8,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
144,방범용,1,경상남도 거창군 거창읍 상림리 867-8,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
145,방범용,1,경상남도 거창군 거창읍 대평리 946-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
146,방범용,1,경상남도 거창군 거창읍 대평리 946-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
147,방범용,1,경상남도 거창군 거창읍 대평리 946-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
148,방범용,1,경상남도 거창군 거창읍 중앙리 152-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
149,방범용,1,경상남도 거창군 거창읍 중앙리 152-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
150,방범용,1,경상남도 거창군 거창읍 중앙리 152-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
151,방범용,1,경상남도 거창군 거창읍 중앙리 152-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
152,방범용,1,경상남도 거창군 거창읍 중앙리 152-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
153,방범용,1,경상남도 거창군 남상면 무촌리 558-4,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
154,방범용,1,경상남도 거창군 남상면 무촌리 558-4,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
155,방범용,1,가조면 일부리 1303,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
156,방범용,1,경상남도 거창군 거창읍 상림리 287,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
157,방범용,1,경상남도 거창군 가조면 도리 1163-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
158,방범용,1,경상남도 거창군 거창읍 대동리 737-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
159,방범용,1,경상남도 거창군 거창읍 대동리 737-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
160,방범용,1,경상남도 거창군 거창읍 대동리 737-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
161,방범용,1,경상남도 거창군 거창읍 대동리 737-2,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
162,방범용,1,경상남도 거창군 거창읍 대평리  1499-8,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
163,방범용,1,경상남도 거창군 거창읍 대평리  1499-8,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
164,방범용,1,경상남도 거창군 거창읍 대평리  1499-8,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
165,방범용,1,경상남도 거창군 거창읍 송정리 78,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
166,방범용,1,경상남도 거창군 거창읍 송정리 78,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
167,방범용,1,경상남도 거창군 거창읍 송정리 78,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
168,방범용,1,경상남도 거창군 거창읍 송정리 78,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
169,방범용,1,경상남도 거창군 거창읍 대평리 1277,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
170,방범용,1,경상남도 거창군 거창읍 대평리 1277,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
171,방범용,1,경상남도 거창군 거창읍 대평리 1120,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
172,방범용,1,경상남도 거창군 거창읍 대평리 1120,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
173,방범용,1,경상남도 거창군 거창읍 상림리 27-3,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
174,방범용,1,경상남도 거창군 거창읍 상림리 27-3,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
175,방범용,1,경상남도 거창군 거창읍 상림리 39-19,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
176,방범용,1,경상남도 거창군 거창읍 상림리 39-19,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
177,방범용,1,경상남도 거창군 거창읍 중앙리 483-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
178,방범용,1,경상남도 거창군 거창읍 상림리 869-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
179,방범용,1,경상남도 거창군 거창읍 대동리 1000,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
180,방범용,1,경상남도 거창군 거창읍 대동리 1000,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
181,방범용,1,경상남도 거창군 거창읍 정장리 1138-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
182,방범용,1,경상남도 거창군 거창읍 정장리 1138-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
183,방범용,1,경상남도 거창군 거창읍 정장리 1138-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
184,방범용,1,경상남도 거창군 거창읍 상림리 497-3,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
185,방범용,1,경상남도 거창군 거창읍 상림리 188-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
186,방범용,1,경상남도 거창군 거창읍 상림리 188-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
187,방범용,1,경상남도 거창군 거창읍 대동리 690-4,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
188,방범용,1,경상남도 거창군 거창읍 김천리 162-7,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
189,방범용,1,경상남도 거창군 거창읍 대동리 6893,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
190,방범용,1,경상남도 거창군 거창읍 대동리 6893,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
191,방범용,1,경상남도 거창군 위천면 장기리 175-6,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
192,방범용,1,경상남도 거창군 위천면 장기리 175-6,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
193,방범용,1,경상남도 거창군 가조면 장기리 286-20,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
194,방범용,1,경상남도 거창군 가조면 장기리 286-20,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
195,방범용,1,경상남도 거창군 가조면 사병리 1255-13,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
196,방범용,1,경상남도 거창군 주상면 완대리 639-5,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
197,방범용,1,경상남도 거창군 주상면 완대리 639-5,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
198,방범용,1,경상남도 거창군 남상면 월평리 2202,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
199,방범용,1,경상남도 거창군 남상면 월평리 2202,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
200,방범용,1,경상남도 거창군 웅양면 군암리 462-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
201,방범용,1,경상남도 거창군 신원면 구사리 1007-3,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
202,방범용,1,경상남도 거창군 신원면 구사리 1007-3,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
203,방범용,1,경상남도 거창군 고제면 개명리 2208,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
204,방범용,1,경상남도 거창군 거창읍 상림리 867-5,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
205,방범용,1,경상남도 거창군 거창읍 대평리 441-6,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
206,방범용,1,경상남도 거창군 거창읍 가지리 447-3,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
207,방범용,1,경상남도 거창군 거창읍 대동리 27-13,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
208,방범용,1,경상남도 거창군 거창읍 양평리 1239-127,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
209,방범용,1,경상남도 거창군 거창읍 중앙리 2-7,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
210,방범용,1,경상남도 거창군 거창읍 중앙리 2-7,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
211,방범용,1,경상남도 거창군 거창읍 중앙리 2-7,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
212,방범용,1,경상남도 거창군 거창읍 상림리 15-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
213,방범용,1,경상남도 거창군 거창읍 김천리 99-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
214,방범용,1,경상남도 거창군 거창읍 중앙리 441-4,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
215,방범용,1,경상남도 거창군 거창읍 중앙리 441-4,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
216,방범용,1,경상남도 거창군 거창읍 김천리 2-28,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
217,방범용,1,경상남도 거창군 거창읍 대평리 1005-36,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
218,방범용,1,경상남도 거창군 거창읍 중앙리 36-3,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
219,방범용,1,경상남도 거창군 거창읍 상림리 773,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
220,방범용,1,경상남도 거창군 거창읍 김천리 453-1,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
221,방범용,1,경상남도 거창군 거창읍 대평리 950,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
222,방범용,1,경상남도 거창군 거창읍 대평리 935-9,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
223,방범용,1,경상남도 거창군 거창읍 대평리 1201-3,전방 70M,거창군 안전총괄과,,,,,,,,,,,,
